chr,x0,x1
chrX,1314840,1315064
chrX,1317369,1317631
chrX,1317740,1317897
chrX,1317876,1318058
chrX,1321222,1321455
chrX,1325276,1325542
chrX,1327649,1327851
chrX,1331399,1331577
chrX,6278139,6278304
chrX,8751441,8751640
chrX,13516795,13516994
chrX,15808569,15808709
chrX,15809007,15809186
chrX,15817945,15818126
chrX,15819347,15819687
chrX,15821761,15821969
chrX,15822184,15822370
chrX,15826306,15826444
chrX,15827273,15827491
chrX,15833750,15834063
chrX,15836660,15836815
chrX,15838280,15838489
chrX,15840804,15841415
chrX,19665927,19666126
chrX,27315235,27315434
chrX,31139900,31140097
chrX,31144709,31144870
chrX,31152169,31152361
chrX,31164358,31164581
chrX,31165342,31165685
chrX,31187510,31187768
chrX,31190415,31190580
chrX,31191606,31191771
chrX,31195999,31196137
chrX,31196736,31196972
chrX,31198437,31198648
chrX,31200805,31201071
chrX,31222028,31222285
chrX,31224649,31224834
chrX,31227565,31227866
chrX,31241114,31241288
chrX,31279022,31279183
chrX,31284877,31284996
chrX,31341665,31341825
chrX,31366623,31366801
chrX,31462548,31462794
chrX,31496173,31496541
chrX,31497050,31497270
chrX,31514855,31515111
chrX,31525348,31525620
chrX,31645740,31646029
chrX,31676057,31676311
chrX,31697442,31697753
chrX,31747698,31747915
chrX,31792027,31792359
chrX,31838042,31838250
chrX,31854785,31854986
chrX,31893255,31893540
chrX,31947663,31947912
chrX,31950147,31950394
chrX,31986406,31986681
chrX,32234983,32235230
chrX,32305596,32305868
chrX,32328149,32328443
chrX,32360167,32360449
chrX,32360909,32361017
chrX,32361201,32361453
chrX,32364010,32364247
chrX,32366473,32366695
chrX,32380855,32381125
chrX,32382649,32382877
chrX,32383087,32383366
chrX,32398577,32398847
chrX,32404377,32404632
chrX,32407568,32407841
chrX,32408138,32408348
chrX,32429819,32430080
chrX,32456308,32456557
chrX,32459247,32459481
chrX,32466523,32466805
chrX,32472729,32472999
chrX,32481506,32481761
chrX,32482653,32482866
chrX,32486565,32486877
chrX,32490231,32490476
chrX,32502986,32503266
chrX,32509344,32509685
chrX,32519822,32520009
chrX,32536024,32536298
chrX,32563226,32563501
chrX,32583769,32584048
chrX,32591597,32591804
chrX,32591812,32592013
chrX,32613824,32614043
chrX,32632370,32632620
chrX,32662199,32662480
chrX,32663031,32663319
chrX,32715937,32716165
chrX,32717179,32717460
chrX,32827560,32827778
chrX,32834535,32834807
chrX,32841362,32841554
chrX,32862850,32863027
chrX,32867795,32867987
chrX,33038206,33038367
chrX,33146214,33146332
chrX,33229349,33229479
chrX,33357326,33357432
chrX,36633248,36633447
chrX,39909119,39909294
chrX,39911312,39911703
chrX,39913085,39913345
chrX,39913459,39913636
chrX,39914571,39914816
chrX,39916358,39916624
chrX,39921342,39921696
chrX,39921949,39922374
chrX,39922811,39923255
chrX,39923539,39923902
chrX,39930176,39930462
chrX,39930840,39930993
chrX,39931552,39934483
chrX,39935657,39935835
chrX,39937047,39937232
chrX,42334940,42335139
chrX,44732748,44733008
chrX,44733120,44733283
chrX,44820479,44820687
chrX,44833861,44834010
chrX,44870156,44870314
chrX,44879805,44880025
chrX,44894126,44894280
chrX,44896850,44896984
chrX,44910904,44911097
chrX,44913024,44913250
chrX,44918201,44918399
chrX,44918442,44918761
chrX,44919217,44919451
chrX,44919804,44920059
chrX,44920519,44920714
chrX,44921842,44922043
chrX,44922617,44923112
chrX,44928774,44929652
chrX,44935892,44936121
chrX,44937595,44937800
chrX,44938341,44938646
chrX,44941771,44941935
chrX,44941910,44942084
chrX,44942655,44942903
chrX,44945060,44945274
chrX,44948938,44949225
chrX,44949918,44950159
chrX,44965737,44965944
chrX,44966605,44966831
chrX,44969274,44969544
chrX,44970577,44970706
chrX,47422317,47422512
chrX,47422575,47422778
chrX,47424146,47424348
chrX,47424334,47424588
chrX,47424601,47424803
chrX,47425988,47426229
chrX,47426233,47426360
chrX,47426335,47426580
chrX,47426579,47426881
chrX,47428067,47428343
chrX,47428336,47428482
chrX,47428888,47429106
chrX,47429242,47429473
chrX,47430227,47430461
chrX,47430672,47430906
chrX,50326342,50326541
chrX,53221876,53222069
chrX,53222099,53222564
chrX,53222569,53222868
chrX,53222905,53223083
chrX,53223271,53223970
chrX,53224063,53224300
chrX,53224363,53224642
chrX,53225048,53225286
chrX,53225818,53226276
chrX,53226789,53227108
chrX,53227622,53227869
chrX,53227896,53228120
chrX,53228109,53228390
chrX,53230411,53230976
chrX,53230986,53231205
chrX,53239546,53239808
chrX,53239808,53240089
chrX,53240629,53240887
chrX,53240919,53241138
chrX,53243821,53244079
chrX,53244927,53245208
chrX,53245206,53245429
chrX,53246275,53246509
chrX,53246928,53247198
chrX,53247408,53247888
chrX,53247827,53247969
chrX,53249971,53250148
chrX,53250820,53251050
chrX,53253872,53254121
chrX,53406974,53407157
chrX,53407491,53407701
chrX,53407889,53408058
chrX,53409103,53409354
chrX,53409377,53409631
chrX,53409968,53410224
chrX,53421648,53421858
chrX,53423097,53423350
chrX,53423342,53423587
chrX,53426461,53426702
chrX,53430448,53430654
chrX,53430659,53430875
chrX,53431837,53432131
chrX,53432127,53432373
chrX,53432375,53432654
chrX,53432653,53432938
chrX,53435943,53436250
chrX,53436302,53436484
chrX,53438661,53438901
chrX,53438895,53439253
chrX,53439800,53440138
chrX,53440132,53440435
chrX,53441657,53441869
chrX,53441880,53442168
chrX,53448795,53449017
chrX,53449391,53449599
chrX,55996723,55996922
chrX,58543895,58544094
chrX,61927056,61927255
chrX,62654417,62654616
chrX,64709678,64709877
chrX,66764939,66765227
chrX,66765136,66766411
chrX,66766320,66766654
chrX,66788795,66788914
chrX,66863048,66863299
chrX,66900512,66900646
chrX,66905802,66906018
chrX,66914465,66914614
chrX,66931194,66931581
chrX,66937270,66937514
chrX,66941625,66941855
chrX,66942619,66942876
chrX,66943478,66943733
chrX,69398708,69398907
chrX,71853730,71853929
chrX,74308801,74309000
chrX,76763779,76764157
chrX,76776216,76776444
chrX,76776831,76777026
chrX,76777691,76777916
chrX,76778680,76778929
chrX,76812872,76813166
chrX,76814090,76814367
chrX,76829665,76829873
chrX,76845254,76845460
chrX,76849116,76849369
chrX,76854830,76855099
chrX,76855151,76855339
chrX,76855853,76856083
chrX,76871880,76872029
chrX,76872031,76872248
chrX,76874224,76874499
chrX,76875813,76876050
chrX,76888645,76888922
chrX,76889004,76889250
chrX,76890035,76890244
chrX,76891356,76891597
chrX,76907554,76907892
chrX,76909538,76909740
chrX,76912000,76912193
chrX,76918821,76919097
chrX,76920084,76920317
chrX,76931671,76931843
chrX,76936962,76940135
chrX,76940381,76940548
chrX,76944261,76944470
chrX,76949249,76949476
chrX,76952015,76952242
chrX,76953021,76953173
chrX,76954012,76954167
chrX,76972558,76972770
chrX,77041418,77041537
chrX,79923787,79923986
chrX,82806040,82806239
chrX,85688342,85688541
chrX,88570546,88570745
chrX,91452722,91452921
chrX,94334800,94334946
chrX,97216927,97217126
chrX,100098956,100099155
chrX,102981220,102981419
chrX,105863385,105863584
chrX,108745600,108745799
chrX,114509955,114510154
chrX,117392096,117392295
chrX,120274286,120274485
chrX,123156428,123156571
chrX,123159640,123159818
chrX,123160365,123160518
chrX,123164761,123165025
chrX,123171327,123171523
chrX,123176369,123176545
chrX,123178964,123179268
chrX,123181154,123181405
chrX,123182805,123182978
chrX,123183986,123184209
chrX,123184921,123185119
chrX,123185115,123185294
chrX,123189928,123190135
chrX,123191666,123191877
chrX,123195024,123195241
chrX,123195571,123195774
chrX,123196702,123196894
chrX,123196916,123197105
chrX,123197648,123197951
chrX,123199676,123199846
chrX,123199975,123200162
chrX,123200156,123200336
chrX,123202364,123202556
chrX,123204949,123205223
chrX,123210132,123210371
chrX,123211757,123211958
chrX,123215180,123215428
chrX,123217221,123217449
chrX,123220347,123220670
chrX,123224375,123224664
chrX,123224654,123224864
chrX,123227818,123228044
chrX,123229172,123229349
chrX,123234374,123234497
chrX,129139158,129139343
chrX,129146504,129146694
chrX,129146876,129150239
chrX,129154910,129155175
chrX,129156822,129157002
chrX,129158915,129159404
chrX,129162560,129162886
chrX,129168380,129168701
chrX,129171292,129171558
chrX,129173062,129173307
chrX,129184642,129184819
chrX,129185785,129186041
chrX,129189779,129190161
chrX,132670102,132670371
chrX,132730410,132730677
chrX,132795708,132795928
chrX,132826347,132826572
chrX,132833873,132834106
chrX,132838183,132838351
chrX,132887459,132888253
chrX,133087027,133087288
chrX,133119252,133119526
chrX,133511598,133511835
chrX,133511985,133512186
chrX,133527481,133527714
chrX,133527889,133528032
chrX,133547468,133547737
chrX,133547803,133548046
chrX,133548996,133549302
chrX,133551149,133551386
chrX,133559181,133559410
chrX,137446209,137446408
chrX,141333054,141333253
chrX,145219948,145220147
chrX,149106796,149107054
chrX,149107907,149108379
chrX,149108324,149108431
chrX,149108827,149109154
chrX,149109225,149109507
chrX,149109958,149110115
chrX,149110352,149110597
chrX,149111819,149112030
chrX,149112186,149112368
chrX,149113801,149115615
chrX,149115539,149116443
chrX,149116474,149116662
chrX,149120518,149120828
chrX,149120751,149121320
chrX,149128934,149129217
chrX,149130752,149131067
chrX,149184132,149184421
chrX,149184518,149184781
chrX,149184792,149185068
chrX,149185680,149185925
chrX,149391351,149391530
chrX,149391652,149391893
chrX,149392177,149392398
chrX,149392526,149392865
chrX,152349489,152349688
